JoinID,Batch_TagID,ReleaseDate,RecaptureDate,RecaptureMonthNum,DaysatSea,SeaAge,Type,Radius,M1.circ,M2.circ,M1.incr,M2.incr,smolt.incr,FS.incr,FW.incr,SS.incr,SW.incr,PS.incr,Y2.incr,marine.incr,total.incr,smolt.circ,FS.circ,FW.circ,SS.circ,SW.circ,PS.circ,Y2.circ,marine.circ,total.circ,FMC.circ,numannuli,ReleaseYear,FMC.incr,RecapType,afterwinter_incr,afterwinter_circ
1975_86568,7504_86568,1975-05-06,1977-07-03,7,789,2,river,3.76,30,51,2.5029,3.6291,0.8675733333333333,0.9085999999999999,0.6393600000000002,0.68878,0.44014,1.54796,1.12892,2.7501933333333337,3.617766666666667,40,16,14,12,9,30,21,54,94,41,2,1975,1.009806666666666,River recaptures,1.2022333333333337,24
1975_87618,7504_87618,1975-05-06,1977-07-05,7,791,2,river,4.382,30,58,2.6129,4.2739,0.9281133333333333,1.0447799999999998,0.47104000000000035,0.9999799999999999,0.6571799999999999,1.5158200000000002,1.6571599999999997,3.2054866666666664,4.1335999999999995,37,21,9,14,14,30,28,60,97,38,2,1975,1.1765133333333333,River recaptures,1.6896666666666662,30
1975_88799,7504_88799,1975-05-06,1977-07-09,7,795,2,river,4.3489,30,46,2.91,3.8238,1.17182,0.99526,0.6580599999999999,0.3152599999999999,0.6060600000000003,1.65332,0.9213200000000001,3.0437133333333337,4.215533333333334,50,17,13,5,11,30,16,56,106,51,2,1975,1.3051866666666667,River recaptures,1.3903933333333338,26
1975_89201,7504_89201,1975-05-06,1977-07-13,7,799,2,river,3.9292,30,50,2.7516,3.7093,1.2704466666666667,0.6321399999999999,0.7536200000000002,0.16724000000000006,0.7753399999999999,1.38576,0.94258,2.4896866666666666,3.7601333333333335,52,13,17,3,17,30,20,55,107,53,2,1975,1.4395133333333332,River recaptures,1.1039266666666665,25
1975_89918,7504_89918,1975-05-06,1977-06-28,6,784,2,river,4.3918,32,56,2.8691,4.1661,1.04044,0.8406799999999999,0.7813800000000004,0.2740999999999998,1.0195400000000001,1.6220600000000003,1.29364,3.0894933333333334,4.129933333333334,41,16,16,5,19,32,24,61,102,42,2,1975,1.3023066666666665,River recaptures,1.4674333333333331,29
1976_1438,7601_1438,1976-05-03,1978-06-20,6,778,2,river,3.7283,27,52,2.5033,3.6013,0.9168533333333333,0.6426400000000001,0.7331399999999999,0.6596000000000002,0.4323999999999999,1.37578,1.092,2.5510466666666662,3.4678999999999998,35,11,16,14,11,27,25,55,90,36,2,1976,1.1772533333333337,River recaptures,1.1752666666666662,28
1976_4134,7601_4134,1976-05-03,1978-06-13,6,771,2,river,4.2288,28,50,2.8407,3.9026,1.3802866666666667,0.5813999999999999,0.7835399999999999,0.41354000000000024,0.64378,1.3649399999999998,1.0573200000000003,2.6744466666666664,4.054733333333333,58,11,17,8,14,28,22,57,115,59,2,1976,1.5543533333333333,River recaptures,1.3095066666666666,29
1976_5022,7601_5022,1976-05-03,1978-07-05,7,793,2,river,3.7127,27,48,2.3171,3.3581,0.8835666666666667,0.8045599999999999,0.4040799999999998,0.24504000000000037,0.7938199999999997,1.2086399999999997,1.0388600000000001,2.524866666666666,3.408433333333333,32,17,10,4,17,27,21,56,88,33,2,1976,1.1878333333333337,River recaptures,1.3162266666666664,29
1976_5923,7601_5923,1976-05-03,1978-08-04,8,823,2,river,3.9224,25,50,2.5082,3.7689,1.22096,0.3340000000000001,0.87168,0.6112199999999999,0.64052,1.20568,1.2517399999999999,2.5845733333333336,3.8055333333333334,52,6,19,12,13,25,25,55,107,53,2,1976,1.3378266666666665,River recaptures,1.3788933333333335,30
1976_5977,7601_5977,1976-05-03,1978-09-02,9,852,2,river,4.2808,26,50,2.9063,3.9831,1.4551466666666666,0.37129999999999996,0.9900599999999999,0.45454000000000017,0.6198199999999998,1.36136,1.07436,2.6884866666666665,4.143633333333333,58,6,20,10,14,26,24,58,116,59,2,1976,1.5923133333333337,River recaptures,1.3271266666666666,32
1976_7075,7601_7075,1976-05-03,1978-06-13,6,771,2,river,4.7701,30,52,3.3349,4.5445,1.65656,0.69082,0.9229400000000001,0.25366,0.9449599999999996,1.61376,1.1986199999999996,2.956206666666666,4.6127666666666665,60,11,19,4,18,30,22,56,116,61,2,1976,1.813893333333334,River recaptures,1.3424466666666661,26
1976_7956,7601_7956,1976-05-03,1978-07-26,7,814,2,river,4.5376,32,54,3.2008,4.1337,1.55042,0.22946,1.31002,0.46708000000000016,0.46797999999999984,1.53948,0.93506,2.811446666666667,4.361866666666667,50,4,28,10,12,32,22,63,113,51,2,1976,1.7261533333333334,River recaptures,1.271966666666667,31
1976_8291,7601_8291,1976-05-03,1978-06-22,6,780,2,river,4.6691,31,50,3.2183,4.3448,1.3821400000000001,0.7396,1.03776,0.34095999999999993,0.7961799999999997,1.77736,1.1371399999999996,3.1598933333333328,4.542033333333333,51,13,18,5,14,31,19,56,107,52,2,1976,1.5092066666666675,River recaptures,1.3825333333333327,25
